subject,sex,age,score
sub15,M,89,91
sub16,F,34,38
sub17,M,55,61
sub18,F,37,37
sub19,M,88,97
sub20,F,74,75
sub21,M,87,95
sub22,F,25,29
sub23,M,37,47
sub24,F,73,80
sub25,M,19,25
sub26,F,51,53
sub27,M,57,64
sub28,F,18,27
sub29,M,29,37
sub30,F,83,83
sub31,M,61,69
sub32,F,84,85
sub33,M,26,36
sub34,F,32,40
sub35,M,23,25
sub36,F,26,30
sub37,M,52,54
sub38,F,62,71
sub39,M,43,50
sub40,F,40,47
sub41,M,79,85
sub42,F,54,54
sub43,M,63,67
sub44,F,79,87
sub45,M,83,88
sub46,F,34,34
sub47,M,29,39
sub48,F,58,61
sub49,M,83,85
sub50,F,36,40
sub51,M,51,60
sub52,F,25,33
sub53,M,67,75
sub54,F,88,88
