subject,sex,age,score
sub0,F,58,67
sub1,M,78,87
sub2,F,77,83
sub3,M,25,34
sub4,F,69,70
sub5,M,69,78
sub6,F,78,87
sub7,M,26,30
sub8,F,61,64
sub9,M,77,81
sub10,F,26,33
sub11,M,45,52
sub12,F,43,45
sub13,M,31,37
sub14,F,46,54
sub15,M,89,91
sub16,F,34,38
sub17,M,55,61
sub18,F,37,37
sub19,M,88,97
sub20,F,74,75
sub21,M,87,95
sub22,F,25,29
sub23,M,37,47
sub24,F,73,80
sub25,M,19,25
sub26,F,51,53
sub27,M,57,64
sub28,F,18,27
sub29,M,29,37
sub30,F,83,83
sub31,M,61,69
sub32,F,84,85
sub33,M,26,36
sub34,F,32,40
sub35,M,23,25
sub36,F,26,30
sub37,M,52,54
sub38,F,62,71
sub39,M,43,50
sub40,F,40,47
sub41,M,79,85
sub42,F,54,54
sub43,M,63,67
sub44,F,79,87
sub45,M,83,88
sub46,F,34,34
sub47,M,29,39
sub48,F,58,61
sub49,M,83,85
sub50,F,36,40
sub51,M,51,60
sub52,F,25,33
sub53,M,67,75
sub54,F,88,88
sub55,M,53,60
sub56,F,47,50
sub57,M,74,78
sub58,F,71,78
sub59,M,86,96
sub60,F,56,63
sub61,M,20,29
sub62,F,23,29
sub63,M,29,35
sub64,F,83,89
sub65,M,51,58
sub66,F,69,72
sub67,M,76,79
sub68,F,57,59
sub69,M,41,42
sub70,F,39,48
sub71,M,61,71
sub72,F,23,27
sub73,M,46,49
sub74,F,75,83
sub75,M,74,75
sub76,F,49,52
sub77,M,58,61
sub78,F,20,20
sub79,M,18,24
sub80,F,36,40
sub81,M,52,54
sub82,F,20,22
sub83,M,66,69
sub84,F,22,22
sub85,M,83,90
sub86,F,52,53
sub87,M,51,55
sub88,F,38,44
sub89,M,59,68
sub90,F,51,56
sub91,M,29,35
sub92,F,42,48
sub93,M,38,40
sub94,F,51,58
sub95,M,22,26
sub96,F,81,89
sub97,M,24,31
sub98,F,79,83
sub99,M,73,80
