subject,sex,age,score
sub0,F,68.0,76
sub1,M,87.0,97
sub2,F,28.0,36
sub3,M,45.0,48
sub4,F,80.0,82
sub5,M,88.0,90
sub6,F,73.0,79
sub7,M,38.0,47
sub8,F,44.0,50
sub9,M,26.0,29
sub10,F,58.0,67
sub11,M,66.0,75
sub12,F,21.0,23
sub13,M,85.0,88
sub14,F,74.0,78
sub15,M,74.0,80
sub16,F,53.0,59
sub17,M,86.0,95
sub18,F,31.0,38
sub19,M,26.0,35
sub20,F,50.0,58
sub21,M,27.0,37
sub22,,77.0,81
sub23,M,48.0,53
sub24,F,26.0,31
sub25,M,43.0,51
sub26,F,46.0,53
sub27,M,77.0,78
sub28,F,55.0,55
sub29,M,65.0,72
sub30,F,19.0,26
sub31,M,74.0,75
sub32,F,77.0,77
sub33,M,74.0,82
sub34,F,24.0,30
sub35,M,60.0,67
sub36,F,67.0,75
sub37,M,65.0,69
sub38,F,58.0,67
sub39,M,28.0,31
sub40,F,59.0,63
sub41,M,59.0,67
sub42,F,29.0,34
sub43,M,21.0,28
sub44,,65.0,74
sub45,M,43.0,48
sub46,F,63.0,64
sub47,M,36.0,39
sub48,F,45.0,47
sub49,M,59.0,60
sub50,F,80.0,87
sub51,M,36.0,38
sub52,F,22.0,28
sub53,M,86.0,87
sub54,F,27.0,31
sub55,M,,56
sub56,F,37.0,45
sub57,M,55.0,56
sub58,F,38.0,45
sub59,M,46.0,55
sub60,F,50.0,59
sub61,M,81.0,88
sub62,F,25.0,25
sub63,M,48.0,57
sub64,F,80.0,80
sub65,M,59.0,66
sub66,F,,48
sub67,M,34.0,39
sub68,F,49.0,53
sub69,M,80.0,86
sub70,F,64.0,67
sub71,M,19.0,27
sub72,F,68.0,73
sub73,M,59.0,66
sub74,F,52.0,53
sub75,M,35.0,39
sub76,F,41.0,50
sub77,,18.0,24
sub78,F,79.0,85
sub79,M,42.0,46
sub80,F,55.0,57
sub81,M,37.0,42
sub82,F,89.0,94
sub83,M,23.0,25
sub84,F,56.0,65
sub85,M,24.0,28
sub86,F,47.0,53
sub87,M,27.0,28
sub88,F,,78
sub89,M,43.0,49
sub90,F,30.0,32
sub91,M,25.0,33
sub92,F,83.0,88
sub93,M,29.0,39
sub94,F,72.0,81
sub95,M,81.0,85
sub96,F,27.0,28
sub97,M,73.0,77
sub98,F,66.0,70
sub99,M,82.0,84
