subject,sex,age,score
sub0,F,35,52
sub1,M,75,76
sub2,F,79,92
sub3,M,54,60
sub4,F,65,78
sub5,M,18,26
sub6,F,45,58
sub7,M,81,85
sub8,F,70,81
sub9,M,51,55
sub10,F,53,72
sub11,M,60,66
sub12,F,44,57
sub13,M,72,81
sub14,F,66,84
sub15,M,21,23
sub16,F,76,92
sub17,M,20,24
sub18,F,76,94
sub19,M,68,70
sub20,F,80,91
sub21,M,47,48
sub22,F,53,69
sub23,M,88,93
sub24,F,47,65
sub25,M,71,77
sub26,F,89,107
sub27,M,56,63
sub28,F,28,47
sub29,M,76,80
sub30,F,88,104
sub31,M,79,88
sub32,F,63,73
sub33,M,74,80
sub34,F,27,37
sub35,M,68,77
sub36,F,37,47
sub37,M,25,29
sub38,F,41,57
sub39,M,57,65
sub40,F,84,102
sub41,M,36,40
sub42,F,40,58
sub43,M,81,87
sub44,F,28,40
sub45,M,42,52
sub46,F,72,90
sub47,M,56,58
sub48,F,47,61
sub49,M,87,89
sub50,F,25,38
sub51,M,61,64
sub52,F,80,99
sub53,M,35,37
sub54,F,77,96
sub55,M,69,79
sub56,F,19,29
sub57,M,32,35
sub58,F,30,49
sub59,M,54,60
sub60,F,62,72
sub61,M,36,45
sub62,F,24,36
sub63,M,22,32
sub64,F,25,44
sub65,M,87,89
sub66,F,31,50
sub67,M,51,61
sub68,F,28,38
sub69,M,75,81
sub70,F,21,33
sub71,M,67,74
sub72,F,51,63
sub73,M,54,60
sub74,F,20,30
sub75,M,60,65
sub76,F,44,57
sub77,M,24,28
sub78,F,43,54
sub79,M,21,27
sub80,F,66,77
sub81,M,21,26
sub82,F,58,76
sub83,M,29,37
sub84,F,84,98
sub85,M,76,86
sub86,F,84,97
sub87,M,42,43
sub88,F,37,50
sub89,M,67,73
sub90,F,36,55
sub91,M,68,74
sub92,F,69,87
sub93,M,26,27
sub94,F,77,87
sub95,M,51,56
sub96,F,36,54
sub97,M,46,51
sub98,F,74,86
sub99,M,68,75
