subject,sex,age,score
sub0,F,,70.0
sub1,M,,
sub2,F,,55.0
sub3,M,,79.0
sub4,F,,40.0
sub5,M,,77.0
sub6,F,,43.0
sub7,M,,63.0
sub8,F,,92.0
sub9,M,,42.0
sub10,F,,56.0
sub11,M,61.0,63.0
sub12,F,23.0,28.0
sub13,M,62.0,65.0
sub14,F,72.0,72.0
sub15,M,84.0,88.0
sub16,F,41.0,47.0
sub17,M,89.0,91.0
sub18,F,52.0,56.0
sub19,M,35.0,43.0
sub20,F,26.0,27.0
sub21,M,19.0,22.0
sub22,F,85.0,92.0
sub23,M,68.0,71.0
sub24,F,62.0,67.0
sub25,M,38.0,48.0
sub26,F,74.0,82.0
sub27,M,81.0,86.0
sub28,F,22.0,22.0
sub29,M,61.0,68.0
sub30,F,64.0,70.0
sub31,M,83.0,88.0
sub32,F,35.0,38.0
sub33,M,32.0,42.0
sub34,F,22.0,24.0
sub35,M,36.0,46.0
sub36,F,31.0,33.0
sub37,M,84.0,88.0
sub38,F,80.0,81.0
sub39,M,89.0,97.0
sub40,F,37.0,
sub41,M,77.0,78.0
sub42,F,40.0,44.0
sub43,M,75.0,79.0
sub44,F,64.0,73.0
sub45,M,65.0,75.0
sub46,F,62.0,66.0
sub47,M,87.0,94.0
sub48,F,32.0,32.0
sub49,M,67.0,74.0
sub50,F,76.0,77.0
sub51,M,25.0,34.0
sub52,F,57.0,57.0
sub53,M,26.0,32.0
sub54,F,88.0,88.0
sub55,M,53.0,
sub56,F,82.0,83.0
sub57,M,67.0,69.0
sub58,F,45.0,52.0
sub59,M,28.0,34.0
sub60,F,73.0,79.0
sub61,M,59.0,67.0
sub62,F,89.0,93.0
sub63,M,86.0,89.0
sub64,F,48.0,55.0
sub65,M,78.0,85.0
sub66,F,24.0,29.0
sub67,M,78.0,86.0
sub68,F,61.0,64.0
sub69,M,88.0,97.0
sub70,F,78.0,78.0
sub71,M,31.0,33.0
sub72,F,41.0,48.0
sub73,M,85.0,92.0
sub74,F,53.0,53.0
sub75,M,36.0,44.0
sub76,F,40.0,45.0
sub77,M,27.0,35.0
sub78,F,46.0,47.0
sub79,M,64.0,66.0
sub80,F,70.0,76.0
sub81,M,43.0,50.0
sub82,F,36.0,39.0
sub83,M,31.0,41.0
sub84,F,50.0,50.0
sub85,M,,20.0
sub86,F,,50.0
sub87,M,,39.0
sub88,F,,
sub89,M,,71.0
sub90,F,,62.0
sub91,M,,60.0
sub92,F,,65.0
sub93,M,,74.0
sub94,F,,80.0
sub95,M,,36.0
sub96,F,,70.0
sub97,M,,49.0
sub98,F,,55.0
sub99,M,,87.0
